Tahun,Merek,Model,Bahan_Bakar,Jenis_Kendaraan,Km
2002,FIAT,DOBLO,DIESEL,MANUAL,50898
2014,FORD,FOCUS,DIESEL,MANUAL,119773
2012,FORD,MONDEO,DIESEL,AUTOMATIC,118148
2010,FORD,TRANSIT,DIESEL,MANUAL,102556
2011,FORD,TRANSIT,DIESEL,MANUAL,164466
2012,FORD,TRANSIT,DIESEL,MANUAL,77634
2013,FORD,TRANSIT,DIESEL,MANUAL,35351
2013,FORD,TRANSIT,DIESEL,MANUAL,109686
2013,FORD,TRANSIT,DIESEL,MANUAL,117802
2010,HYUNDAI,GETZ,PETROL,AUTOMATIC,"73576,0"
2013,HYUNDAI,I20,DIESEL,MANUAL,147080
2013,HYUNDAI,SANTA_FE,DIESEL,AUTOMATIC,105014
2006,MAZDA,RX_8,PETROL,MANUAL,171558
2000,MITSUBISHI,CARISMA,PETROL,MANUAL,229125
2016,NISSAN,MICRA,PETROL,AUTOMATIC,8754
2016,PEUGEOT,301,DIESEL,MANUAL,8724
2011,RENAULT,SYMBOL,DIESEL,MANUAL,106542
2012,RENAULT,SYMBOL,DIESEL,MANUAL,141917
2012,RENAULT,SYMBOL,DIESEL,MANUAL,115778
2013,RENAULT,SYMBOL,DIESEL,MANUAL,153442
2013,RENAULT,SYMBOL,DIESEL,MANUAL,175819
2013,RENAULT,SYMBOL,DIESEL,MANUAL,"156703,0"
2013,RENAULT,SYMBOL,DIESEL,MANUAL,129694
2016,RENAULT,SYMBOL,DIESEL,MANUAL,37282
2012,SKODA,YETI,PETROL,AUTOMATIC,96029
2013,VOLKSWAGEN,TRANSPORTER,DIESEL,MANUAL,237809
2015,FORD,TOURNEO,DIESEL,MANUAL,91493
2013,FORD,TRANSIT,DIESEL,MANUAL,68739
2013,FORD,TRANSIT_CUSTOM,DIESEL,MANUAL,130721
2013,FORD,TRANSIT_CUSTOM,DIESEL,MANUAL,88089
2016,KIA,SPORTAGE,PETROL,AUTOMATIC,19657
2000,LADA,VEGA_WAGON,PETROL,MANUAL,226726
2010,PEUGEOT,BIPPER,DIESEL,AUTOMATIC,184623
2013,VOLKSWAGEN,AMAROK,DIESEL,MANUAL,109272
2013,VOLKSWAGEN,AMAROK,DIESEL,MANUAL,85912
2012,VOLVO,S80,PETROL,AUTOMATIC,71962
2005,CHEVROLET,SPARK,PETROL,MANUAL,103341
2009,FIAT,FIORINO,DIESEL,MANUAL,163631
2004,KIA,RIO,PETROL,MANUAL,143091
2001,HYUNDAI,ACCENT,PETROL,MANUAL,175913
2004,RENAULT,CLIO,PETROL,MANUAL,248290
2000,PEUGEOT,206,PETROL,AUTOMATIC,243846
2004,RENAULT,MEGANE_II,DIESEL,MANUAL,"227562,0"
2011,RENAULT,SYMBOL,DIESEL,MANUAL,163551
2000,TOYOTA,COROLLA,PETROL,MANUAL,144675
2007,FIAT,DOBLO,DIESEL,MANUAL,221753
2008,RENAULT,CLIO,PETROL,MANUAL,47517
2009,FIAT,ALBEA,PETROL,MANUAL,67527
2010,FIAT,LINEA,DIESEL,MANUAL,143732
2013,RENAULT,SYMBOL,DIESEL,MANUAL,197550
2011,RENAULT,SYMBOL,DIESEL,MANUAL,205958
2006,RENAULT,MEGANE_II,DIESEL,MANUAL,222544
2011,DACIA,SANDERO,DIESEL,MANUAL,59896
2014,RENAULT,SYMBOL,PETROL,MANUAL,84726
2014,RENAULT,SYMBOL,PETROL,MANUAL,94835
2008,RENAULT,MEGANE_II,DIESEL,AUTOMATIC,170245
2012,RENAULT,SYMBOL,PETROL,MANUAL,28267
2006,TOYOTA,COROLLA,DIESEL,AUTOMATIC,157127
2009,RENAULT,MEGANE_II,DIESEL,AUTOMATIC,165122
2008,RENAULT,CLIO,PETROL,AUTOMATIC,140615
2008,RENAULT,CLIO,DIESEL,MANUAL,105070
