Tahun,Merek,Model,Bahan_Bakar,Jenis_Kendaraan,Km
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,"50090,0"
2016,HYUNDAI,I20,DIESEL,MANUAL,19911
2014,FORD,FOCUS,DIESEL,MANUAL,154321
2014,FIAT,500L,DIESEL,AUTOMATIC,40067
2011,NISSAN,JUKE,PETROL,AUTOMATIC,75850
2013,CITROEN,C4,DIESEL,AUTOMATIC,143913
2012,FORD,MONDEO,DIESEL,MANUAL,128899
2015,DACIA,DUSTER,DIESEL,MANUAL,102000
2015,HYUNDAI,ACCENT_BLUE,DIESEL,AUTOMATIC,34271
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,71593
2013,FORD,FOCUS,DIESEL,MANUAL,148847
2013,FORD,FOCUS,PETROL,AUTOMATIC,72927
2013,OPEL,ASTRA,DIESEL,MANUAL,160624
2013,PEUGEOT,508,DIESEL,AUTOMATIC,108542
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,42055
2014,FORD,FOCUS,DIESEL,MANUAL,158497
2014,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,102414
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,45631
2015,OPEL,CORSA,PETROL,AUTOMATIC,5772
2014,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,49081
2013,PEUGEOT,508,DIESEL,AUTOMATIC,108542
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,40468
2012,SEAT,LEON,DIESEL,AUTOMATIC,87856
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,35011
2013,VOLKSWAGEN,GOLF,DIESEL,MANUAL,114633
2013,PEUGEOT,508,DIESEL,AUTOMATIC,93998
2015,RENAULT,FLUENCE,DIESEL,AUTOMATIC,105657
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,47166
2013,VOLKSWAGEN,JETTA,DIESEL,MANUAL,122491
2014,FORD,FOCUS,DIESEL,MANUAL,105759
2014,FORD,FOCUS,DIESEL,MANUAL,109231
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,41323
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,45005
2014,PEUGEOT,508,DIESEL,AUTOMATIC,66771
2013,TOYOTA,AURIS,DIESEL,AUTOMATIC,111606
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,58588
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,62362
2016,HYUNDAI,I20,PETROL,AUTOMATIC,18232
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,36286
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,47440
2015,RENAULT,MEGANE_III,DIESEL,AUTOMATIC,49048
2014,TOYOTA,COROLLA,DIESEL,AUTOMATIC,35627
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,"20648,0"
2014,PEUGEOT,508,DIESEL,AUTOMATIC,83278
2014,FORD,FOCUS,DIESEL,MANUAL,62948
2012,VOLKSWAGEN,JETTA,DIESEL,MANUAL,188314
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,44586
2015,RENAULT,FLUENCE,DIESEL,AUTOMATIC,32273
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,49283
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,42246
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,48180
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,48164
2015,RENAULT,MEGANE_III,DIESEL,AUTOMATIC,47278
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,31875
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,37916
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,39155
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,30977
2013,VOLKSWAGEN,GOLF,DIESEL,MANUAL,67585
2013,TOYOTA,COROLLA,DIESEL,AUTOMATIC,85189
2012,VOLKSWAGEN,JETTA,DIESEL,MANUAL,168355
2012,VOLKSWAGEN,JETTA,dIESEL,AUTOMATIC,137441
2015,OPEL,ASTRA,dieSEL,MANUAL,42014
2013,TOYOTA,corolLA,DIESEL,AUTOMATIC,109219
2013,VOLKSWAGEN,jeTTA,DIESEL,AUTOMATIC,157908
2011,VOLKSWAGEN,pasSAT,DIESEL,AUTOMATIC,145377
2013,VOLKSWAGEN,jeTTA,DIESEL,AUTOMATIC,"169031,0"
2015,RENAULT,meGANE_III,DIESEL,AUTOMATIC,32385
2015,PEUGEOT,308,DIESEL,AUTOMATIC,41081
2015,RENAULT,MEGANE_III,DIESEL,AUTOMATIC,36169
2013,NISSAN,QASHQAI,DIESEL,MANUAL,141443
2016,RENAULT,fluENCE,DIESEL,AUTOMATIC,22302
2015,RENAULT,megANE_III,DIESEL,AUTOMATIC,43
2015,RENAULT,meGANE_III,DIESEL,AUTOMATIC,46136
2015,RENAULT,meGANE_III,DIESEL,AUTOMATIC,44263
2014,HYUNDAI,MAREA,DIESEL,AUTOMATIC,72820
2016,FIAT,Egea,DIESEL,MANUAL,29831
2016,RENAULT,FLUENCE,DIESEL,MANUAL,17902
2016,RENAULT,FLUENCE,DIESEL,AUTOMATIC,19745
2012,VOLKSWAGEN,jetta,DIESEL,AUTOMATIC,81254
2014,VOLKSWAGEN,jetta,DIESEL,AUTOMATIC,67875
2014,toYOTA,corolLA,DIESEL,auTOMATIC,43
2014,reNAULT,latITUDE,DIESEL,aUTOMATIC,48474
2014,RENAULT,latITUDE,DIESEL,autoMATIC,42663
2014,RENAULT,LATITUDE,DIESEL,autoMATIC,47135
2015,CITROEN,C5,DIESEL,auTOMATIC,58299
2013,VOLKSWAGEN,JETTA,DIESEL,auTOMATIC,127317
2012,VOLVO,S60,DIESEL,manual,146310
2013,VOLKSWAGEN,JETTA,DIESEL,automatic,"66084,0"
2015,TOYOTA,COROLLA,DIESEL,auTOMATIC,24324
2016,FORD,FOCUS,DIESEL,maNUAL,23304
2015,SKODA,oCTAVIA,DIESEL,AUTOMATIC,39624
2016,VOLKSWAGEN,gOLF,DIESEL,MANUAL,333
2015,SKODA,oCTAVIA,DIESEL,AUTOMATIC,46274
2015,SKODA,ocTAVIA,DIESEL,AUTOMATIC,51784
2015,skoDA,ocTAVIA,DIESEL,AUTOMATIC,518
2016,OPEL,asTRA,diESEL,AUTOMATIC,12
2014,VOLKSWAGEN,jetta,diesEL,AUTOMATIC,54716
2014,VOLKSWAGEN,jeTTA,diESEL,AUTOMATIC,93922
2014,VOLKSWAGEN,jettA,diESEL,AUTOMATIC,944
2016,opeL,asTRA,diESEL,AUTOMATIC,355
2013,VOLKSWAGEN,pasSAT,peTROL,AUTOMATIC,102663
2016,oPEL,s60,diESEL,AUTOMATIC,303
2013,foRD,MONDEO,dIESEL,aUTOMATIC,65
2013,VOLKSWAGEN,PASSAT,dIESEL,auTOMATIC,711
2015,VOLKSWAGEN,JETTA,dIESEL,autOMATIC,"43473,0"
2013,FIAT,FREEMONT,dIESEL,autoMATIC,464
2013,VOLVO,S60,dIESEL,automATIC,129134
2013,FORD,MONDEO,DIESEL,autoMATIC,82
2013,FORD,MONDEO,DIESEL,AUTOMATIC,819
2013,FIAT,FREEMONT,DIESEL,AUTOMATIC,52540
2011,MERCEDES_BENZ,C_SERISI,PETROL,AUTOMATIC,141
2013,FIAT,FREEMONT,DIESEL,AUTOMATIC,934
2014,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,48661
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,68247
2016,skoDA,OCTAVIA,DIESEL,AUTOMATIC,178
2013,MERCEDES_BENZ,C_SERISI,PETROL,AUTOMATIC,"1207,0"
